group,model,subject,bic
19,error-scale-two-state,7,-333.21817644310073
19,retention-scale-two-state,7,-397.4174112527002
19,bias-scale-two-state,7,-375.6084097198148
19,x-aim-scale-two-state,7,-399.3118582487024
19,y-aim-scale-two-state,7,-399.2515408588491
19,error-scale-one-state,7,-54.08915117469792
19,retention-scale-one-state,7,-45.025243834677326
19,bias-scale-one-state,7,-158.12666863938125
19,x-aim-scale-one-state,7,-176.9756724171745
19,y-aim-scale-one-state,7,-177.09360999876372
19,error-scale-two-state-non-neg,7,-352.349049411894
19,retention-scale-two-state-non-neg,7,-355.86739151114017
19,bias-scale-two-state-non-neg,7,-355.65311455482174
19,x-aim-scale-two-state-non-neg,7,-366.75227356590415
19,y-aim-scale-two-state-non-neg,7,-366.7395358906475
19,error-scale-two-state,8,-365.6105002592429
19,retention-scale-two-state,8,-417.1855374267143
19,bias-scale-two-state,8,-403.03783370510274
19,x-aim-scale-two-state,8,-421.660052720777
19,y-aim-scale-two-state,8,-421.54567983100515
19,error-scale-one-state,8,-61.82737672881211
19,retention-scale-one-state,8,-48.825638185608256
19,bias-scale-one-state,8,-159.16253015035903
19,x-aim-scale-one-state,8,-176.7196620424931
19,y-aim-scale-one-state,8,-176.82253206328193
19,error-scale-two-state-non-neg,8,-346.8244592116503
19,retention-scale-two-state-non-neg,8,-346.07144367198083
19,bias-scale-two-state-non-neg,8,-375.94626693143636
19,x-aim-scale-two-state-non-neg,8,-394.523742415239
19,y-aim-scale-two-state-non-neg,8,-394.5484319258692
19,error-scale-two-state,9,-358.60702077528066
19,retention-scale-two-state,9,-418.48476385452443
19,bias-scale-two-state,9,-405.9218241064764
19,x-aim-scale-two-state,9,-408.47201959354584
19,y-aim-scale-two-state,9,-408.4031376299416
19,error-scale-one-state,9,-50.728226478188475
19,retention-scale-one-state,9,-41.98733187242789
19,bias-scale-one-state,9,-159.92443312782083
19,x-aim-scale-one-state,9,-178.53664756191296
19,y-aim-scale-one-state,9,-178.5289479768752
19,error-scale-two-state-non-neg,9,-337.1982971188312
19,retention-scale-two-state-non-neg,9,-318.0223719451864
19,bias-scale-two-state-non-neg,9,-379.17421660408866
19,x-aim-scale-two-state-non-neg,9,-385.3421401458835
19,y-aim-scale-two-state-non-neg,9,-385.3129067218682
19,error-scale-two-state,10,-352.84990805939236
19,retention-scale-two-state,10,-424.1969961070322
19,bias-scale-two-state,10,-393.60450474963807
19,x-aim-scale-two-state,10,-406.0341985349571
19,y-aim-scale-two-state,10,-406.07034218344563
19,error-scale-one-state,10,-52.820797108027534
19,retention-scale-one-state,10,-41.90489568576267
19,bias-scale-one-state,10,-150.00288483245262
19,x-aim-scale-one-state,10,-168.30233863264056
19,y-aim-scale-one-state,10,-168.2948812701718
19,error-scale-two-state-non-neg,10,-332.80198313056434
19,retention-scale-two-state-non-neg,10,-378.8421456761951
19,bias-scale-two-state-non-neg,10,-366.24004848740293
19,x-aim-scale-two-state-non-neg,10,-382.59555819791206
19,y-aim-scale-two-state-non-neg,10,-384.04354759962166
19,error-scale-two-state,11,-345.3030489114326
19,retention-scale-two-state,11,-380.939670472731
19,bias-scale-two-state,11,-370.54077943016375
19,x-aim-scale-two-state,11,-393.59509743280387
19,y-aim-scale-two-state,11,-393.71246353942354
19,error-scale-one-state,11,-47.52014069275893
19,retention-scale-one-state,11,-35.897656315478756
19,bias-scale-one-state,11,-140.46349427197765
19,x-aim-scale-one-state,11,-157.9103448177272
19,y-aim-scale-one-state,11,-157.93850260430008
19,error-scale-two-state-non-neg,11,-319.3130584339055
19,retention-scale-two-state-non-neg,11,-353.67723490844855
19,bias-scale-two-state-non-neg,11,-342.5720481422674
