GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,DIR,HA_INIT,HA_MID,HA_END
16,2,Adaptation,RH,12,72,0,-31,1,3,CCW,16.75186631,16.70834504,29.05293771
16,2,Adaptation,RH,13,73,0,-28,3,3,CCW,16.25317869,16.19255716,27.15898587
16,2,Adaptation,RH,14,74,0,-23,3,1,CCW,17.54207963,17.54668875,22.68684517
16,2,Adaptation,RH,15,75,0,-34,3,1,CCW,22.51097283,22.5212309,36.13855174
16,2,Adaptation,RH,16,76,0,-27,3,1,CCW,26.52471278,26.68992534,19.55547792
16,2,Adaptation,RH,17,77,0,-31,3,3,CCW,26.79005512,27.09545046,25.21046398
16,2,Adaptation,RH,18,78,0,-34,1,1,CCW,19.84248091,19.9358638,32.05465757
16,2,Adaptation,RH,19,79,0,-32,1,1,CCW,23.69723079,23.65528812,31.43718251
16,2,Adaptation,RH,20,80,0,-27,3,1,CCW,21.50072989,21.62576797,25.86954872
16,2,Adaptation,RH,21,81,0,-29,3,3,CCW,24.48196402,24.51860947,28.02109752
16,2,Adaptation,RH,22,82,0,-29,1,3,CCW,17.22721591,17.0212624,25.18957655
16,2,Adaptation,RH,23,83,0,-34,3,3,CCW,20.48828953,20.67813389,27.41985929
16,2,Adaptation,RH,24,84,0,-35,1,1,CCW,18.35552238,18.41693477,34.64005769
16,2,Adaptation,RH,25,85,0,-26,3,1,CCW,26.30273696,26.32977195,27.92519681
16,2,Adaptation,RH,26,86,0,-26,3,3,CCW,26.1872906,26.29033987,26.04729543
16,2,Adaptation,RH,27,87,0,-31,3,1,CCW,18.44222859,18.49450986,28.20215213
16,2,Adaptation,RH,28,88,0,-30,1,3,CCW,23.81026863,23.62197148,28.86561335
16,2,Adaptation,RH,29,89,0,-31,1,1,CCW,19.74373756,19.71127002,29.48174662
16,2,Adaptation,RH,30,90,0,-26,3,3,CCW,24.08373545,24.05452452,26.13216808
16,2,Adaptation,RH,31,91,0,-25,3,1,CCW,22.17843939,22.07203711,23.92653796
16,2,Adaptation,RH,32,92,0,-30,1,3,CCW,26.26907267,26.60549339,34.8067038
16,2,Adaptation,RH,33,93,0,-35,3,1,CCW,23.83918692,23.66404106,28.30285765
16,2,Adaptation,RH,34,94,0,-33,1,1,CCW,28.03374978,27.93698677,32.46161813
16,2,Adaptation,RH,35,95,0,-30,3,1,CCW,26.837957,26.69555609,27.13607336
16,2,Adaptation,RH,36,96,0,-28,1,3,CCW,26.00080785,25.76596538,30.58592592
16,2,Adaptation,RH,37,97,0,-25,3,1,CCW,23.81320186,23.77475396,22.50523377
16,2,Adaptation,RH,38,98,0,-34,3,3,CCW,22.32870068,22.27388663,32.90040499
16,2,Adaptation,RH,39,99,0,-33,1,1,CCW,24.25239876,24.55841326,34.3138065
16,2,Adaptation,RH,40,100,0,-29,3,1,CCW,27.93858824,27.88878329,24.15512331
16,2,Adaptation,RH,41,101,0,-32,3,3,CCW,29.92668177,29.71383909,32.12000787
16,2,Adaptation,RH,42,102,0,-31,1,1,CCW,19.01466813,19.33535959,29.02939249
16,2,Adaptation,RH,43,103,0,-34,1,3,CCW,29.89308033,30.14001616,33.01058811
16,2,Adaptation,RH,44,104,0,-37,1,3,CCW,24.44673544,24.40081015,40.06056414
16,2,Adaptation,RH,45,105,0,-23,3,1,CCW,18.74902207,18.44779013,25.33879006
16,2,Adaptation,RH,46,106,0,-29,3,3,CCW,27.76204039,27.67311483,28.41499049
16,2,Adaptation,RH,47,107,0,-30,3,3,CCW,24.62298723,24.59179903,32.35890648
16,2,Adaptation,RH,48,108,0,-25,3,3,CCW,20.75192416,20.80713781,23.19382363
16,2,Adaptation,RH,49,109,0,-29,3,3,CCW,25.94454703,25.8923143,31.05887817
16,2,Adaptation,RH,50,110,0,-33,1,3,CCW,22.93085325,23.01953764,33.78057868
16,2,Adaptation,RH,51,111,0,-27,1,3,CCW,27.97260177,28.05098062,23.44046756
16,2,Adaptation,RH,52,112,0,-22,1,3,CCW,22.19268358,21.94254779,26.38084707
16,2,Adaptation,RH,53,113,0,-26,1,3,CCW,23.07999799,22.8904058,25.68142545
16,2,Adaptation,RH,54,114,0,-31,1,3,CCW,22.81992994,22.67170872,31.95541743
16,2,Adaptation,RH,55,115,0,-27,3,1,CCW,23.40771903,23.30615552,30.30069527
16,2,Adaptation,RH,56,116,0,-34,3,1,CCW,27.92547897,27.86136387,31.63896376
16,2,Adaptation,RH,57,117,0,-28,3,1,CCW,30.0614929,30.06398671,29.2280764
16,2,Adaptation,RH,58,118,0,-31,1,3,CCW,25.29590336,24.69006789,28.3651398
16,2,Adaptation,RH,59,119,0,-28,1,1,CCW,23.93032545,23.83892252,28.5764595
16,2,Adaptation,RH,60,120,0,-33,1,1,CCW,28.07400469,28.32249437,30.00647696
16,2,Adaptation,RH,61,121,0,-23,1,3,CCW,27.36834768,27.1550074,21.77856172
16,2,Adaptation,RH,62,122,0,-37,3,3,CCW,27.27077339,27.45751902,32.16321994
16,2,Adaptation,RH,63,123,0,-29,3,1,CCW,21.58709225,21.65715645,24.63510889
16,2,Adaptation,RH,64,124,0,-29,1,1,CCW,32.364376,32.35857484,31.00391604
16,2,Adaptation,RH,65,125,0,-24,3,1,CCW,29.38029043,29.41678086,23.50625664
16,2,Adaptation,RH,66,126,0,-30,3,3,CCW,28.18375649,27.87074529,27.97783203
16,2,Adaptation,RH,67,127,0,-30,1,3,CCW,24.25326802,24.23636012,27.15207375
16,2,Adaptation,RH,68,128,0,-25,1,3,CCW,19.06358225,19.38437152,27.23571659
16,2,Adaptation,RH,69,129,0,-32,3,3,CCW,25.81010743,25.82977698,31.91299457
16,2,Adaptation,RH,70,130,0,-38,1,3,CCW,26.27743942,26.28571414,38.93449339
16,2,Adaptation,RH,71,131,0,-35,3,3,CCW,22.5334761,22.38664227,33.48283619
16,2,Adaptation,RH,72,132,0,-30,3,3,CCW,18.6493545,18.64319176,26.240334
16,2,Adaptation,RH,73,133,0,-32,1,3,CCW,25.14253728,25.18900668,33.65045072
16,2,Adaptation,RH,74,134,0,-31,1,1,CCW,28.80803635,28.89331386,30.54960673
16,2,Adaptation,RH,75,135,0,-32,3,3,CCW,34.28730467,34.21274292,31.12902049
16,2,Adaptation,RH,76,136,0,-22,1,1,CCW,24.72042713,24.67313621,19.3551771
16,2,Adaptation,RH,77,137,0,-26,3,1,CCW,29.01316934,29.41790752,26.86328221
16,2,Adaptation,RH,78,138,0,-29,3,3,CCW,29.80963725,29.35796645,29.14924348
16,2,Adaptation,RH,79,139,0,-33,3,3,CCW,23.78826848,24.23415762,31.30758782
16,2,Adaptation,RH,80,140,0,-31,3,3,CCW,21.76189246,21.8294052,35.50194637
16,2,Adaptation,RH,81,141,0,-30,1,1,CCW,24.27678521,24.47679737,30.39326803
